전시일련번호,어권구분,전시회명,전시부제,전시장소,전시시작기간,전시끝기간,홈페이지URL,부대행사,주최및후원,전시(관람)시간,관람료(원),전시부문,작품수,출품작가,도슨트,관람포인트,담당자,문의전화,전시설명,대표이미지
463145,KOR,《박유아가 그린 초상화》,,남서울미술관,2020-12-15,2021-02-28,,,,,,,,,,,김혜진,02-2124-8944,<p>입양아로 성장한 사람들의 인터뷰 아카이브를 재해석한 초상회화 프로젝트를 통해 인종 디아스포라 민족 등의 개념들을 감각적으로 재구성하는 재미작가 박유아의 프로젝트<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2020%2F&FILE_NM=20200102180414_a22c73fcebf14e28a4001e2a285e0a0a_3515ca1fac534a3cb637ed64756c769d
461401,KOR,아시아도시 순회전 《이불-비기닝》,,서소문본관,2020-12-15,2021-03-31,,,,,,,,,,,권진,02-2124-8939,<p>국제미술계에 익히 알려진 작가 이불의 개인전으로 잘 알려진 이불 작품세계의 원류라고 할 수 있는 퍼포먼스와 소프트 조각이 발현되던 1980년대 후반부터 1990년대의 작품과 기록을 재조명함으로써 역사에 기록하지 못했던 시대의 감각들을 개념화하는 전시 <br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191230172204_62388dada065467ea7d9f4dc16d75e24_786860e0d57245339bb17dad1be11d14
461391,KOR,《2000년대 한국미술》,,서소문본관,2020-12-15,2021-03-31,,,,,,,,,,,송가현,02-2124-8946,<p>새로운 밀레니엄이 시작된 2000년대 10여 년 간의 한국미술을 조명하는 전시로 IMF 이후 대안공간의 양적 증가로 대변되었던 한국미술계의 역동적 에너지를 환기하고 동시대에 적용 및 지속가능한 전시 담론 제도의 진화방안을 모색함.<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191230171929_2b2a61d9623b460fbc7b115a0bd3258d_c80d16ee3608476594c0f3ac985ef53b
460208,KOR,해외소장품 걸작전 《브뤼겔에서 로스코까지》,,북서울미술관,2020-12-08,2021-04-30,,,,,,,,,,,오연서,02-2124-5284,<p>네덜란드 황금시대를 대표했던 16세기 브뤼겔 및 얀 반 에이크 17세기 렘브란트 루벤스 그리고 19세기 모네 세잔 고흐 및 20세기 뭉크 칸딘스키 몬드리안 달리 마그리트 피카소 및 로스코 등의 미술사 거장의 작품들이 소개될 예정임. <br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191226133628_36b09cc0a7e04defbf1d8403fb6fd7a7_ecc185e814194a9fbff74ce262dfbfb9
460199,KOR,《무한 상상》,,북서울미술관,2020-09-29,2021-03-31,,,,,,,,,,,정재임,02-2124-5269,<p>우리가 살고 있는 기본 조건의 변화가 가져오는 물리적 환경의 차이를 통해 생성되는 시지각 감각의 전환과 새로운 경험을 토대로 어린이들에게 새로운 상상과 사고를 유추할 수 있는 기회를 제공함.<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191226133432_e0047f5e14ab4c398bba209e212390b5_4f1a1ff3de9048bb891cc410f072022e
460189,KOR,2020 타이틀매치 《정의되지 않은 파노라마》,,북서울미술관,2020-09-22,2020-11-15,,,,,,,,,,,유민경,02-2124-5272,<p>북서울미술관의 대표적인 연례전으로 세대와 장르 구분을 넘어서 매체 성향 개성이 다른 작가들의 협업을 선보이는 전시이다. 올해는 현시대를 각자의 관점을 가지고 해석하고 표현하는 작가와 이론가를 초대하여 여럿의 시각이 모여 나온 풍부한 관점들을 관객과 나누고자 한다. 사회 시스템 안에서 존재하는 개인과 집단 그리고 사회화에 대한 작업을 해온 함양아 작가 등을 중심으로 예술적 시너지 효과를 기대한다.<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191226133258_ab48a058d92b42b99619e21e6b91997c_8c864930e73f464e90c9145470514330
460179,KOR,한네프켄재단 교류전 《한네프켄+SeMA 미디어아트 소장전》,,북서울미술관,2020-09-15,2020-11-15,,,,,,,,,,,권혜인,02-2124-5270,<p>한네프켄 재단과 북서울미술관 코리안 비디오아트 프로덕션 어워드 수상작과 한네프켄 재단 소장품 서울시립미술관의 미디어 소장품 등 국내외 우수한 미디어아트 작품을 한 곳에서 볼 수 있는 기회를 마련하고자 한다.<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191226133050_125c9362c6b64241a4af90a82c0cca71_4cd68579f40a4b349b0be5d26db857e0
461380,KOR,서울미디어시티 비엔날레 2020 《하나하나 탈출한다 One Escape at a Time》,,서소문본관,2020-09-08,2020-11-22,,,,,,,,,,,이지민,02-2124-8942,<p>설립 20주년을 맞아 도시와 미디어 미술을 키워드로 서울미디어시티비엔날레의 새로운 확장을 도모하기 위한 행사 개최. 예술감독 융마의 기획으로 &lt;하나하나 탈출한다&gt;라는 주제 하에 대중미디어의 탈현실적 상상력에 주목하고 도시를 경험하는 새로운 방법론을 제시<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191230171531_737311ac516a4dd8a4b0ae501914ed19_5f8de2ef2830466cadd060e9d9a17635
463135,KOR,《김범의 시차가 있는 작업실》,,남서울미술관,2020-09-08,2020-11-22,,,,,,,,,,,김혜진,02-2124-8944,<p>작가 김범이 싱가폴 STPI 워크숍에서 제작한 조각 판화와 동영상 그리고 미발표작을 포함한 초기 비디오 작품과 쉽게 고장 나 고쳐가며 배치하는 오브제 작업 등을 통해 남서울미술관 공간을 다시 감각하게 만들고 전시를 관람하는 색다른 방식을 제안함. <br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2020%2F&FILE_NM=20200102180230_9cd74f02d5924d73ba1ae37b7047ffba_fe6316d90d4e41febca250e6847438f4
460167,KOR,2020 서울포커스 《자라나는 도시》,,북서울미술관,2020-06-30,2020-08-30,,,,,,,,,,,방소연,02-2124-5268,<p>서울이라는 도시를 녹색으로 채우는 ‘산’ ‘공원’ ‘식물’ 등의 영역을 다룸으로써 도시 속에서 자연을 향유하고자 하는 욕망과 그것의 다양한 형태들 그리고 그것이 도시의 삶에서 갖는 의미 등을 생각해보는 전시<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191226132904_7efffbc27a2a47fabce159fd5e995d78_d8cc140853fe4c6f9c54b1378daf1fcc
