축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
허균문화제,허균허난설헌기념공원,2020-10-10,2020-10-11,"재례 및 허균문학 작가상 시상식, 학술대회, 한복체험, 인형극 공연 등",(사)교산·난설헌선양회,강릉시,,000-0000-0000,http://www.hongkildong.or.kr/,http://www.hongkildong.or.kr/web2011/board.php?board=moon&command=body&no=5&config=5,강원도 강릉시 난설헌로 193번길 1-16 (초당동),강원도 강릉시 초당동 477,37.79187317,128.9096453,2020-01-01
난설헌허초희 문화제,허균허난설헌기념공원,2020-04-11,2020-04-12,"솔밭음악회,체험,인형극 등",(사)교산·난설헌선양회,강릉시,,033-640-5580,http://www.hongkildong.or.kr/,http://www.hongkildong.or.kr/web2011/board.php?board=nan&command=body&no=5&config=5,강원도 강릉시 난설헌로 193번길 1-16 (초당동),강원도 강릉시 초당동 477,37.79187317,128.9096453,2020-01-01
강릉망월제,강릉남대천 일원,2020-02-08,2020-02-08,"망월제례, 민속놀이 등",임영민속연구회,강릉시,,033-651-0886,,,강원도 강릉시 남대천,,,,2020-01-01
강릉단오제,강릉시 남대천 단오장 및 지정행사장,2020-06-21,2020-06-28,"문화재행사, 공연, 체험, 전시, 시민참여행사, 경축부대행사및 난장 등",(사)강릉단오제위원회(사)강릉단오제보존회 외,"(사)강릉단오제위원회,(사)강릉단오제보존회","강원도, 문화체육관광부",033-641-1593,http://www.danojefestival.or.kr/,"축제개요,역사,사진자료 등",강원도 강릉시 단오장길 1 (노암동),강원도 강릉시 노암동 722-2,37.74820212,128.8950714,2020-01-01
강릉커피축제,"강릉아레나, 안목해변",2020-10-01,2020-10-04,"100인100미 강릉바리스타 퍼포먼스, 커피경연대회(바리스타, 핸드드립, 커핑, 마카롱) , 커피체험(로스팅, 추출, 커핑, 공예품 등), 전시, 공연 등",강릉문화재단,강릉시,"문화체육관광부, 강원도",033-647-6802,http://www.coffeefestival.net/,http://korean.visitkorea.or.kr/kor/bz15/where/festival/festival.jsp?cid=825295,강원도 강릉시 수리골길 102(초당동),강원도 강릉시 포남동 산90-1,37.77929864,128.8970866,2020-01-01
둔내고랭지토마토축제,둔내면사무소~둔내파출소 간,2019-08-09,2019-08-11,"토마토풀장, 향토음식체험, 추억의 물총놀이 등",둔내고랭지토마토축제위원회,강원도 횡성군 둔내면사무소,,033-340-2704,,,강원도 횡성군 둔내면 둔내로51번길 17,강원도 횡성군 둔내면 자포곡리 402,,,2019-12-18
안흥찐빵축제,주천강 실미교 아래 둔치,2019-09-27,2019-09-29,"안흥찐빵 시식 및 홍보, 농경문화 체험, 먹거리장터운영 등",안흥찐빵축제위원회,강원도 횡성군 안흥면사무소,,033-340-2703,,,강원도 횡성군 안흥면 안흥로 27,강원도 횡성군 안흥면 안흥리 284-11,,,2019-12-18
횡성더덕축제,청일면 유동3리 농거리야영장,2019-08-30,2019-09-01,"더덕요리경연대회, 더덕캐기체험, 더덕품평회 등",횡성더덕축제위원회,강원도 횡성군 청일면사무소,,033-340-2706,,,강원도 횡성군 청일면 유동로 17,강원도 횡성군 청일면 유동리 850-2,,,2019-12-18
횡성한우축제,횡서읍 섬강둔치 일원,2019-10-02,2019-10-06,"한우구이터, 발골이벤트, 한우퍼레이드, 스템프투어 등",횡성문화재단,강원도 횡성군청,,033-340-5712,http://www.hscf.or.kr,,강원도 횡성군 횡성읍 문예로 75,강원도 횡성군 횡성읍 읍하리 260,,,2019-12-18
광주왕실도자기축제,곤지암도자공원,2019-04-26,2019-05-12,공연+체험행사+전시,경기도 광주시청,왕실도자기축제 추진위원회,,031-760-2913,https://www.gjcity.go.kr,축제안내+도자기정보+도자기역사,경기도 광주시 곤지암읍 경충대로 727,경기도 광주시 곤지암읍 삼리 72-1,37.35028421,127.3347877,2019-12-15
광주 남한산성문화제,남한산성도립공원,2019-09-27,2019-09-29,개막행사+6개 마당 행사+부대행사,광주시 남한산성문화제 추진위원회,경기도 광주시청,,031-760-2726,https://www.gjcity.go.kr,축제안내,경기도 광주시 남한산성면 산성리 1042,경기도 광주시 남한산성면 산성리 1042,37.476835,127.1836325,2019-12-15
퇴촌토마토축제,퇴촌면 공설운동장,2019-06-13,2019-06-16,퇴촌 토마토축제,퇴촌토마토축제위원회,경기도 광주시 퇴촌면사무소,경기도 광주시청,031-760-4819,https://www.gjcity.go.kr,축제안내,경기도 광주시 퇴촌면 광동리 530번지,경기도 광주시 퇴촌면 광동리 530번지,37.47269684,127.3014271,2019-12-15
제19회 구리 코스모스 축제,구리한강 시민공원 및 시가지 일원,2019-09-27,2019-09-29,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 토평동 883-2,경기도 구리시 토평동 883-2,38.342841,128.081044,2019-12-06
제19회 구리 유채꽃 축제,구리한강 시민공원 및 시가지 일원,2019-05-10,2019-05-12,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 토평동 883-2,경기도 구리시 토평동 883-2,38.342841,128.081044,2019-12-06
정약용문화제,"정약용유적지, 팔당댐 수변, 물의정원 등",2019-04-20,2019-04-21,"정약용 사색의 길 걷기, 여유당 음악회, <정약용>창작 뮤지컬 공연, 유기농 딸기축제, 플리마켓 등",남양주시,남양주시정약용문화제추진위원회,한국수력원자력㈜,031-590-4928,,,경기도 남양주시 조안면 다산로747번길 11,경기도 남양주시 조안면 능내리 94(정약용유적지),37.51627447,127.299035,2020-01-20
부천국제애니메이션페스티벌,"한국만화박물과, CGV부천, 부천시청, 메가박스코엑스",2019-10-18,2019-10-22,애니메이션상영,"BIAF 집행위원회, (사)한국만화애니메이션학회",(사)부천국제애니메이션페스티벌 조직위원회,,,http://www.biaf.or.kr,,경기도 부천시 길주로 1,,37.5087667,126.7422647,2019-09-10
부천국제만화축제,한국만화박물관 및 부천시 일원,2019-08-14,2019-08-18,"전시, 부천국제만화페어, 경기국제코스프레페스티벌",부천국제만화축제운영위원회,(재)한국만화영상진흥원,,032-310-3071,http://www.bicof.com,,경기도 부천시 길주로 1,,37.5087667,126.7422647,2019-09-10
부천국제판타스틱영화제,부천시청 등,2019-06-27,2019-07-07,"개폐막식, 영화상영, 문화행사 등",(사)부천국제판타스틱영화제조직위원회,(사)부천국제판타스틱영화제조직위원회,,032-327-6313,http://www.bifan.kr,,경기도 부천시 길주로 210,경기도 부천시 중동 1156,37.5034813,126.7658019,2019-09-10
부천전국비보이대회,부천마루광장,2019-04-20,2019-04-20,전국비보이대회,진조크루,경기도 부천시,,032-625-3113,http://www.thejinjo.com/,,"경기도 부천시 길주로121번길 18-19(상동, 준프라자)",경기도 부천시 상동 537-8,37.506512,126.757053,2019-09-10
부천세계비보이대회,부천마루광장,2019-09-06,2019-09-08,세계비보이대회,진조크루,경기도 부천시,,032-625-3113,http://bbickorea.com/,,"경기도 부천시 길주로121번길 18-19, 5층(상동, 준프라자)",경기도 부천시 상동 537-8,37.506512,126.757053,2019-09-10
부천전국대학가요제,부천마루광장,2019-08-31,2019-08-31,전국대학가요제,서울신학대학교,경기도 부천시,,032-625-3115,http://www.marubusking.com/,,"경기도 부천시 호현로489번길 52(소사본동, 서울신학대학교)",경기도 부천시 소사본동 101-1,37.4791781,126.7889915,2019-09-10
분당구민 한마음 축제,야외공연장 중앙공원(미정),2019-10-01,2019-10-31,"행복한 분당, 화합하고 하나되는 어울림 마당 조성",분당구청 가정복지과,분당 아트 페스티벌위원회,,,,,경기도 성남시 분당구 성남대로 550,경기도 성남시 분당구 수내동 65,37.38030721,127.1211791,2019-12-27
청계산철쭉축제,옛골입구,2019-04-27,2019-04-27,청계산 철쭉제 개화시기 축제알림,고등동,청계산 철쭉축제추진위원회,,,,,경기도 성남시 수정구 상적동 216-2,경기도 성남시 수정구 상적동 216-2,37.42989648,127.0716316,2019-12-27
