축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
광주왕실도자기축제,곤지암도자공원,2019-04-26,2019-05-12,공연+체험행사+전시,경기도 광주시청,왕실도자기축제 추진위원회,,031-760-2913,https://www.gjcity.go.kr,축제안내+도자기정보+도자기역사,경기도 광주시 곤지암읍 경충대로 727,경기도 광주시 곤지암읍 삼리 72-1,37.35028421,127.3347877,2019-12-15
광주 남한산성문화제,남한산성도립공원,2019-09-27,2019-09-29,개막행사+6개 마당 행사+부대행사,광주시 남한산성문화제 추진위원회,경기도 광주시청,,031-760-2726,https://www.gjcity.go.kr,축제안내,경기도 광주시 남한산성면 산성리 1042,경기도 광주시 남한산성면 산성리 1042,37.476835,127.1836325,2019-12-15
퇴촌토마토축제,퇴촌면 공설운동장,2019-06-13,2019-06-16,퇴촌 토마토축제,퇴촌토마토축제위원회,경기도 광주시 퇴촌면사무소,경기도 광주시청,031-760-4819,https://www.gjcity.go.kr,축제안내,경기도 광주시 퇴촌면 광동리 530번지,경기도 광주시 퇴촌면 광동리 530번지,37.47269684,127.3014271,2019-12-15
제19회 구리 코스모스 축제,구리한강 시민공원 및 시가지 일원,2019-09-27,2019-09-29,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 토평동 883-2,경기도 구리시 토평동 883-2,38.342841,128.081044,2019-12-06
제19회 구리 유채꽃 축제,구리한강 시민공원 및 시가지 일원,2019-05-10,2019-05-12,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 토평동 883-2,경기도 구리시 토평동 883-2,38.342841,128.081044,2019-12-06
정약용문화제,"정약용유적지, 팔당댐 수변, 물의정원 등",2019-04-20,2019-04-21,"정약용 사색의 길 걷기, 여유당 음악회, <정약용>창작 뮤지컬 공연, 유기농 딸기축제, 플리마켓 등",남양주시,남양주시정약용문화제추진위원회,한국수력원자력㈜,031-590-4928,,,경기도 남양주시 조안면 다산로747번길 11,경기도 남양주시 조안면 능내리 94(정약용유적지),37.51627447,127.299035,2020-01-20
부천국제애니메이션페스티벌,"한국만화박물과, CGV부천, 부천시청, 메가박스코엑스",2019-10-18,2019-10-22,애니메이션상영,"BIAF 집행위원회, (사)한국만화애니메이션학회",(사)부천국제애니메이션페스티벌 조직위원회,,,http://www.biaf.or.kr,,경기도 부천시 길주로 1,,37.5087667,126.7422647,2019-09-10
부천국제만화축제,한국만화박물관 및 부천시 일원,2019-08-14,2019-08-18,"전시, 부천국제만화페어, 경기국제코스프레페스티벌",부천국제만화축제운영위원회,(재)한국만화영상진흥원,,032-310-3071,http://www.bicof.com,,경기도 부천시 길주로 1,,37.5087667,126.7422647,2019-09-10
부천국제판타스틱영화제,부천시청 등,2019-06-27,2019-07-07,"개폐막식, 영화상영, 문화행사 등",(사)부천국제판타스틱영화제조직위원회,(사)부천국제판타스틱영화제조직위원회,,032-327-6313,http://www.bifan.kr,,경기도 부천시 길주로 210,경기도 부천시 중동 1156,37.5034813,126.7658019,2019-09-10
부천전국비보이대회,부천마루광장,2019-04-20,2019-04-20,전국비보이대회,진조크루,경기도 부천시,,032-625-3113,http://www.thejinjo.com/,,"경기도 부천시 길주로121번길 18-19(상동, 준프라자)",경기도 부천시 상동 537-8,37.506512,126.757053,2019-09-10
