축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
용전들노래 가을걷이 한마당,용전동 용전마을 일원,2019-10-26,2019-10-26,"용전들노래재현, 체험마당, 공연 등",사)용전들노래보존회,광주광역시 북구,북광주농협,062-410-6618,,,광주광역시 북구 용전마을길 42(용전동),광주광역시 북구 용전동 171-3,35.23893658,126.8973084,2019-12-27
제21회 용전들노래 정기공연,용전동 용전마을 일원,2019-07-27,2019-07-27,"용전들노래재현, 체험마당, 공연 등",사)용전들노래보존회,광주광역시 북구,북광주농협,062-410-6618,,,광주광역시 북구 용전마을길 42(용전동),광주광역시 북구 용전동 171-3,35.23893658,126.8973084,2019-12-27
서구여성합창단 정기 연주회,서구 관내 공연장,2020-11-01,2020-11-30,서구여성합창단의 음악적 역량과 수준을 보여주는 정기 음악회,광주광역시 서구,미정,광주광역시,062-360-7551,www.seogu.gwangju.kr,,광주광역시 서구 경열로 33(농성동),광주광역시 서구 농성동 299 서구청,35.15202894,126.890113,2019-12-17
서구민한가족대축제,상무시민공원,2020-05-01,2020-05-01,"구민의 날을 맞이하여, 구민이 다함께 즐길 수 있는 주민참여 프로그램으로 애향과 일체감을 조성",광주광역시 서구,미정,광주광역시,062-360-7234,www.seogu.gwangju.kr,,광주광역시 서구 상무공원로 101(치평동),광주광역시 서구 치평동 1162 상무시민공원 관리동,35.15339511,126.8410975,2019-12-17
영산강 서창들녁 억새축제,영산강(극락교~서창교 3.5km)일원,2020-10-01,2020-10-30,억새축제,광주광역시 서구,미정,광주광역시,062-360-7186,www.seogu.gwangju.kr,,광주광역시 서구 서창둑길 377(벽진동),광주광역시 서구 벽진동 505-1,35.13849504,126.828739,2019-12-17
만드리 풍년제,서구 서창동 발산마을 들녘,2020-07-01,2020-07-30,매년 7월 백중 무렵 서창 들녘에서 세벌 김매기하며 불렀던 전통 농요 행사,광주광역시 서구,미정,광주광역시,062-360-7030,www.seogu.gwangju.kr,,광주광역시 서구 서창발산길 10(서창동),광주광역시 서구 서창동 424-1,35.1071746,126.8231387,2019-12-17
전국 애송시 낭송대회,서구 빛고을 국악전수관 공연장,2020-05-01,2020-05-30,우리말의 아름다울과 문학의 향기를 전달하여 지역의 문학적 자긍심 제고 문화향수 기회 확대,광주광역시 서구 문화원,광주광역시 서구청,광주광역시,062-681-4174,www.seogu.gwangju.kr,,광주광역시 서구 풍금로 182(금호동),광주광역시 서구 금호동 790 빛고을국악전수관,35.13196581,126.8598511,2019-12-17
풍암골 신암마을 당산제,풍암 제7어린이공원내 (풍암동1129),2020-02-19,2020-02-19,민속고유 명절인 대보름을 맞이하여 사라져가는 전통세시풍속인 당산제를 재현하여 지역 주민들의 평안과 발전 및 풍요다산을 기원,광주광역시 서구,미정,광주광역시,062-360-7551,www.seogu.gwangju.kr,,광주광역시 서구 풍암동 1129,광주광역시 서구 풍암동 1129,35.123999,126.8794277,2019-12-17
고서포도축제,고서면 증암천변 일원,2019-07-20,2019-07-21,특산품 홍보 및 판매,고서포도축제추진위원회,담양군,,061-380-3152,,,전라남도 담양군 고서면 가사문학로 325,전라남도 담양군 고서면 동운리 583-4,35.22370105,126.9729391,2019-12-27
가로수사랑음악회,가로수사랑군민연대,2019-11-03,2019-11-03,"지역출신가수공연, 특집라디오공개방송 등",담양가로수사랑군민연대,담양군,,061-380-3152,,,전라남도 담양군 담양읍 지침3길 7-5,전라남도 담양군 담양읍 지침리 132-28,35.3161579,126.9840291,2019-12-27
담양산타축제,담양 원도심 및 메타프로방스 일원,2019-12-13,2019-12-29,"크리스마스거리조성, 크리스마스마켓 운영 등",담양산타축제추진위원회,담양군,,061-380-3152,,,전라남도 담양군 담양읍 추성로 1371,전라남도 담양군 담양읍 객사리 99-1,35.32121077,126.9881755,2019-12-27
담양대나무축제,죽녹원 및 관방제림 일원,2019-05-01,2019-05-06,"대나무 관련 전시, 체험, 공연, 판매 등",(사)담양대나무축제위원회,담양군,"문화체육관광부, 전라남도, 한국관광공사",061-380-3152,www.bamboofestival.co.kr,,전라남도 담양군 담양읍 추성로 1371,전라남도 담양군 담양읍 객사리 99-1,35.32121077,126.9881755,2019-12-27
추월산벚꽃축제,용면 추월산광장 일원,2020-04-07,2020-04-08,"벚꽃노래자랑, 특산품판매 등",용면청년회,담양군,,061-380-3152,,,전라남도 담양군 용면 추월산로 369,전라남도 담양군 용면 추성리 478-1,35.36449265,126.9872053,2019-12-27
창평전통음식문화축제,창평슬로시티 일원,2020-10-26,2020-10-28,"슬로푸드전시, 체험, 판매 등",창평면주민자치위원회,담양군,,061-380-3152,,,전라남도 담양군 창평면 돌담길 56-24,전라남도 담양군 창평면 창평리 113-1,35.23525084,127.0178938,2019-12-27
목포 유달산 봄 축제,유달산 및 원도심 일원,2020-04-03,2020-04-05,"유달산 둘레길 및 근대역사거리 투어, 4.8만세운동 재현 퍼포먼스 , 음악 공연 및 시민 체험 프로그램",전라남도 목포시,목포시축제추진위원회,,061-270-8442,http://www.mokpo.go.kr/tour/festival/yudalsan_spring/info,,전라남도 목포시 죽교동 산27-3,전라남도 목포시 죽교동 산27-3,,,2020-01-28
제23회 무안연꽃축제,회산백련지 일원,2019-07-25,2019-07-28,"아이스존, 연자방 소방등 달기, 연꽃 팥빙수 나눔잔치, 연잎들고 연꽃길 걷기, 연 공예체험 등",무안군,무안군축제추진위원회,,061-450-5472,http://tour.muan.go.kr/,,전라남도 무안군 일로읍 백련로 333,전라남도 무안군 일로읍 복룡리 150,34.86008849,126.5298962,2020-01-20
2019 무안황토갯벌축제,무안황토갯벌랜드 일원,2019-06-14,2019-06-16,"풍요깃발퍼레이드, 농게·낙지·운저리잡기 체험 등",무안군,무안군축제추진위원회,,061-450-5472,http://tour.muan.go.kr/,,전라남도 무안군 해제면 용산길 140,전라남도 무안군 해제면 유월리 1-1,35.10332391,126.3319409,2020-01-20
2019 순천 푸드앤아트 페스티벌,순천시 중앙로 일원,2019-09-27,2019-09-29,"순천대표음식 홍보 및 개발음식 판매, 거리극 공연, 전시체험, 주무대 공연 등",순천시 관광과,순천시,"전라남도, 문화체육관광부,한국지역진흥재단",061-749-5795,http://sc-fafestival.com,,전라남도 순천시 중앙로 232,,,,2019-12-19
화순고인돌문화축제,고인돌유적지 일원 (도곡면 효산리),2020-04-20,2020-04-21,"고인돌이야기 재현, 고인돌마을 솟대 세우기, 고인돌 사진 전시, 유물 만들기, 비석치기, 농특산물 홍보관 등",화순고인돌축제추진위원회,화순고인돌축제추진위원회,,061-379-5070,,"행사소개,행사개요 및 내용 등",전라남도 화순군 도곡면 효산리 64,전라남도 화순군 도곡면 효산리 64,34.98557648,126.918716,2020-01-08
화순운주문화축제,도암면 운주사 일원,2020-05-11,2020-05-12,"의식, 전시, 경연, 공연, 체험, 농특산물 및 음식판매",화순운주문화축제추진위원회,화순운주문화축제추진위원회,,061-379-5082,,"행사소개,행사개요 및 내용 등",전라남도 화순군 도암면 천태로 91-20,전라남도 화순군 도암면 용강리 110,34.91804462,126.8776526,2020-01-08
백아산 철쭉제,백아면 백아산 일원,2020-05-03,2020-05-04,"위령제, 노래자랑, 백일장 등",백아면 청년회,백아면 청년회,,061-379-5107,,"행사소개,행사개요 및 내용 등",전라남도 화순군 북면 학천길 20,전라남도 화순군 북면 이천리 52,35.16777494,127.1339984,2020-01-08
화순적벽 문화축제,"이서 커뮤니티센터, 화순 적벽 망향정 일원",2020-10-12,2020-10-13,"기념식, 체험, 사진 전시, 지역농산물 판매 등",이서면 번영회,화순적벽 문화축제 추진위원회,,061-379-5090,,"행사소개,행사개요 및 내용 등",전라남도 화순군 이서면 백아로 3114,전라남도 화순군 이서면 야사리 197,35.11101204,127.0791227,2020-01-08
화학산 철쭉제,청풍면 화학산 일원,2020-04-27,2020-04-27,"산신제, 식전 공연, 기념식, 축하 공연, 체험 및 부대행사",청풍면 청년회,청풍면 청년회,,061-379-5040,,"행사소개,행사개요 및 내용 등",전라남도 화순군 청풍면 청용리 233-1,전라남도 화순군 청풍면 청용리 233-1,34.8700947,126.9407387,2020-01-08
화순 동구리 호수공원 봄축제,동구리 호수공원,2020-04-20,2020-04-21,"개막식, 축하공연, 노래자랑, 체험행사 등",화순읍 청년연합회,화순읍 청년연합회,,061-379-5011,,"행사소개,행사개요 및 내용 등",전라남도 화순군 화순읍 동구리 44-1,전라남도 화순군 화순읍 동구리 44-1,35.0737332,126.9880517,2020-01-08
화순 국화향연,화순읍 남산공원,2020-10-25,2020-11-10,"공식, 전시, 공연, 체험, 농특산물 판매, 국화 전시행사",화순군,화순군,,061-379-3575,http://hwasun.go.kr/festival/,"행사소개,행사장 정보,화순투어,커뮤니티",전라남도 화순군 화순읍 진각로 85,전라남도 화순군 화순읍 광덕리 88,35.05831397,126.9851617,2020-01-08
군산시간여행축제,시간여행마을 및 근대역박물관 일원,2019-10-04,2019-10-06,근대문화축제,군산시간여행축제추진위원회,군산시,전라북도,063-454-3302,http://festival.gunsan.go.kr/,"주변관광지 : 군산근대역사박물관, 초원사진관, 동국사 등",전라북도 군산시 해망로 240,전라북도 군산시 장미동 1-67,35.99081984,126.7119533,2019-12-09
순창장류축제,순창전통고추장민속마을 일원,2020-10-16,2020-10-18,"문화공연, 장류체험, 전시,판매, 주민참여 프로그램 등",순창군,순창장류축제추진위원회,"문화체육관광부, 전라북도, 한국관광공사",063-652-9301,http://www.jangfestival.co.kr,"강천산군립공원, 전통고추장민속마을",전라북도 순창군 순창읍 민속마을길 6-3,전라북도 순창군 순창읍 백산리 265-4,35.36860021,127.1099773,2020-01-23
필봉마을굿축제,필봉문화촌,2019-08-15,2019-08-18,"국가무형문화재 초청공연, 전국농악경연대회, 국제교류 문화공연 등",임실필봉농악보존회,임실필봉농악보존회,"문화체육관광부, 임실군",063-640-2901,www.pilbong.co.kr,N,전라북도 임실군 강진면 강운로 272,전라북도 임실군 강진면 필봉리 88-1,35.53639442,127.1544452,2019-12-11
사선문화제,관촌사선대,2019-09-20,2019-09-22,"사선녀선발전국대회, 호남좌도농악전국대회, 축하방송 등",사선문화제전위원회,사선문화제전위원회,임실군,063-643-3988,,N,전라북도 임실군 관촌면 사선2길 68-7,전라북도 임실군 관촌면 관촌리 222,35.6723571,127.2746245,2019-12-11
섬진강다슬기축제,섬진강생활체육공원,2019-07-20,2019-07-21,"맨손 물고기잡기 대회, 다슬기 까기 대회, 다슬기 잡기 대회, 민속경기 등",섬진강다슬기축제위원회,섬진강다슬기축제위원회,"전라북도, 임실군",063-640-2313,,N,전라북도 임실군 덕치면 강운로 11,전라북도 임실군 덕치면 회문리 907-1,35.52099481,127.1471835,2019-12-11
