축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
4.19혁명 국민문화제 2019,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,2019-04-13,2019-04-19,4.19기념 국민문화제,4.19혁명 국민문화제위원회,4.19 3개단체 및 서울특별시 강북구청,국가보훈처 서울특별시  서울특별시 교육청  KBS,02-901-6206,www.festival419.org,,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,37.63918553,127.0254518,2019-11-18
봉황각 3.1독립운동 재현행사,서울특별시 강북구 우이동 봉황각 일원,2019-03-01,2019-03-01,도선사 타종  독립선언문 낭독  길놀이 및 태극기 거리행진,서울특별시 강북구청,서울특별시 강북구청,강북문화발전협의회  천도교 중앙총부  티브로드,02-901-6207,www.gangbuk.go.kr,,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,37.66053059,127.0064736,2019-11-18
종교연합바자회,서울특별시 강북구 한신대신학대학원,2019-10-12,2019-10-12,종교연합 바자회 기증물품 판매  문화공연  수익금전액 난치병어린이돕기 후원,서울특별시 강북구 관내 3종교연합,서울특별시 강북구 관내 3종교연합,강북구  티브로드  한신대학교 신학대학원,02-901-6207,www.gangbuk.go.kr,,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 498-16,37.6350142,127.0129382,2019-11-18
개화산 봄꽃축제,방화근린공원,2019-04-20,2019-04-20,"건강걷기, 지역예능인한마당, 플라워 콘서트",강서문화원,서울특별시 강서구청,서울특별시 강서구의회,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp,,서울특별시 강서구 금낭화로 176,서울특별시 강서구 방화동 855,,,2019-12-19
해맞이축제,개화산 정상,2019-01-01,2019-01-01,"소망엽서 보내기, 문화공연, 해오름 행사",서울특별시 강서구청,서울특별시 강서구청,서울특별시 강서구의회,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp,,서울특별시 강서구 금낭화로17길 213,서울특별시 강서구 개화동 산91-4,,,2019-12-19
한여름 밤의 페스티벌,신정여자상업고등학교,2019-08-31,2019-08-31,각종 가수 초청 공연,강서문화원,서울특별시 강서구청,"서울특별시, 서울특별시 강서구의회",02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp,,서울특별시 강서구 등촌로13아길 20,서울특별시 강서구 화곡동 477-1,,,2019-12-19
우장산 신록축제,우장산근린공원,2019-05-25,2019-05-25,"건강걷기, 주민참여마당, 숲속음악회",강서문화원,서울특별시 강서구청,서울특별시 강서구의회,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp,,서울특별시 강서구 우장산로 66,서울특별시 강서구 내발산동 산19-1,,,2019-12-19
허준축제,허준근린공원,2019-10-11,2019-10-13,"개막식, 허준콘서트, 전국허준가요제, 먹거리장터, 각종 체험부스 등",강서문화원,서울특별시 강서구청,"서울특별시, 서울특별시 강서구의회",02-2600-6455,www.heojunfestival.com,,서울특별시 강서구 허준로5길 42,서울특별시 강서구 가양동 1471,,,2019-12-19
강감찬축제,낙성대공원 일대,2020-10-16,2020-10-18,"강감찬 장군 출병식 및 전승행렬 거리 퍼레이드, 고려마을 테마 체험부스, 강감찬 장군 추모제향 등 다채로운 행사 진행",관악구,관악구,,02-879-5603,http://www.gwanak.go.kr/html/gang/sub/sub.html,,"서울특별시 관악구 관악로 145, 교육사업과(관악구청)",서울특별시 관악구 봉천동 1570-1,37.47820977,126.9515032,2020-01-22
구로G페스티벌,서울특별시 구로구 안양천 둔치,2020-09-25,2020-09-27,구민이 주체가 되어 자발적으로 참여하는 구로구민을 위한 축제,구로구,서울특별시 구로구청,"구로문화재단, 구로문화원",02-860-2060,www.guro.go.kr,,서울특별시 구로구 구로동 621-9,서울특별시 구로구 구로동 621-9,37.501473,126.872383,2020-01-31
금천하모니벚꽃축제 2019,금천구청 광장 및 안양천변,2019-04-05,2019-04-06,"개막공연(금나래의전설), 꽃길만 걷자(아트브리지, 빛아트 등), 금천하모니오케스트라, 우리동네 슈퍼스타, 하모니벚꽃장 등",금천하모니벚꽃축제거버넌스,서울특별시 금천구청+금천문화재단,서울특별시,02-2627-1445,https://gcfac.or.kr/content?gcfac_menu_cd=U0107,,서울특별시 금천구 시흥대로73길 70,,37.45706511,126.8960352,2019-12-16
정조대왕 능행차 공동재현,시흥IC~시흥행궁,2019-10-05,2019-10-05,"의궤복원 프로그램(행렬, 격쟁 등), 주요행사(전통공연, 체험프로그램),주민환영행사프로그램(구민퍼레이드, 향토문화축제 등)",금천구,"서울특별시, 수원시, 화성시",서울특별시,02-2627-1452,http://www.kingjeongjo-parade.kr/,,서울특별시 금천구 은행나무로 45,,37.4510151,126.9075078,2019-12-16
서울약령시 한방문화축제,서울약령시 약령문 거리,2020-05-15,2020-05-16,"보제원제향, 한방사랑시민걷기대회 및 각종 한방체험",(사)서울약령시협회,(사)서울약령시협회,서울특별시 동대문구청,02-969-4793,www.seoulya.com,"서울약령시한의약박물관, 선농단, 경동시장, 청량리청과물시장 등",서울특별시 동대문구 약령중앙로8길 10,서울특별시 동대문구 제기동 965-1,37.58152253,127.0377329,2020-01-23
선농대제,선농단,2020-04-18,2020-04-18,"제례봉행, 설렁탕나눔행사",동대문문화재단,동대문문화재단,서울특별시 동대문구청,02-3295-5561,,"서울선농단, 설렁탕재현행사",서울특별시 동대문구 왕산로19길 52,,37.58056194,127.0321113,2020-01-23
세계거리춤축제,장한로,2020-09-19,2019-09-20,"세계거리춤공연, 주민참여무대, 각종춤경연",(사)세계거리춤축제위원회,(사)세계거리춤축제위원회,서울특별시 동대문구청,02-3295-5560,,"장한평역, 장한로, 세계거리춤",서울특별시 동대문구 천호대로405,서울특별시 동대문구 장안동472-3,37.56201359,127.0641794,2020-01-23
청룡문화제,용두근린공원,2020-10-24,2020-10-25,"제례봉행, 어가행렬",서울특별시 동대문문화원,청룡문화제보존위원회,서울특별시 동대문구청,02-2127-4158,,"용두공원,청룡",서울특별시 동대문구 청계천로 563,서울특별시 동대문구 용두동 34-12,37.57325834,127.0385968,2020-01-23
제15회 영등포 여의도 봄꽃축제,여의서로 일대(국회의사당 뒤편),2019-04-05,2019-04-11,"공연, 문화, 전시, 체험",영등포문화재단,영등포구,"서울특별시, 우리은행, 산업은행",02-2670-3128,www.ydp.go.kr www.ydpcf.or.kr,,서울특별시 영등포구 의사당대로 1,서울특별시 영등포구 여의도동 1,37.5329136,126.9164036,2019-12-20
2019 영양고추 H.O.T Festival,서울광장,2019-08-27,2019-08-29,"판매, 체험, 공연, 부대행사",영양군,영양군,"농림축산식품부, 농촌진흥청, 국립농산물품질관리원, 경상북도, KBS, 한국농수산식품유통공사,한국농어촌공사,한국식품연구원,(사)대한민국김치협회,영양고추유통공사,NH농협은행 영양군지부, 영양농협,남영양농협",054-680-6571,영양군청홈페이지 주소,"고추판매 축제,일정 등",서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,37.56631769,126.9778284,2019-12-31
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
