축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
2020 대전 서구힐링 아트페스티벌,샘머리공원 및 보라매공원(서구청앞) 일원,2020-05-22,2022-05-24,아트마켓 등 7개분야 100여개 프로그램,"서구축제추진위원회, 대전광역시서구문화원, 한국예총대전광역시연합회",대전광역시 서구,미정,042-288-2714,http://www.seogu.go.kr/sorg/content.do?mnucd=SGMENU0500127,,대전광역시 서구 둔산서로 100,대전광역시 서구 둔산동 1544,36.35505672,127.3833597,2020-01-03
2019계룡세계軍문화축제,계룡대활주로,2019-10-02,2019-10-06,"軍문화 관련 공연, 전시, 체험, 이벤트 등",(재)계룡軍문화발전재단,계룡시,"국방부, 육군본부 등",042-840-2631,www.m-festival.org,,충청남도 계룡시 신도안면 계룡대로 663,,,,2019-09-26
공주 석장리 세계구석기축제,석장리박물관,2019-05-03,2019-05-06,"네안데르탈인 특별전시전, 별빛토크쇼, 구석기문화 체험 등",공주석장리구석기축제조직위원회,공주시,,041-840-8112,,,충청남도 공주시 금벽로 990,충청남도 공주시 석장리동 118,,,2019-09-26
계룡산벚꽃축제,계룡산 동학사 일원,2019-04-05,2019-04-16,"야간경관 설치, 계룡산벚꽃가요제, 분청사기 만들기, 먹거리 운영 등",계룡산축제추진위원회,공주시,,041-840-8093,,,충청남도 공주시 반포면 동학사1로 167-31,충청남도 공주시 반포면 학봉리 631-9,,,2019-09-26
백제문화제,금강신관공원 및 공산성 일원,2019-09-28,2019-10-06,"K-POP 한류페스티벌, 웅진성퍼레이드, 체험마당, 먹거리마당, 농특산물판매 등",공주시백제문화선양위원회,백제문화제추진위원회,,041-840-8069,,,충청남도 공주시 신관동 553,충청남도 공주시 신관동 553,,,2019-09-26
비단고을산꽃축제,군북면 산꽃벚꽃마을 오토캠핑장,2019-04-13,2019-04-14,"ㅇ강변슬라이딩, 금강족욕, 민물고기잡기 등 강변문화체험ㅇ경운기투어, 여치집만들기 등 외갓집체험ㅇ농바우끄시기, 물페기농요 등 민속공연",금산축제관광재단,금산축제관광재단,금산군,041-750-4144,http://tour.geumsan.go.kr/,,충청남도 금산군 군북면 자진뱅이길 95,충청남도 금산군 군북면 산안리 294,36.19093401,127.5710874,2020-01-02
비단고을산꽃축제,군북면 산꽃벚꽃마을 오토캠핑장,2019-04-13,2019-04-14,"산꽃 술래길 건강걷기, 숲속 작은 음악회, 산꽃음악회 등 공연프로그램 등",보곡산골마을회,금산문화원,금산군,041-750-2411,http://tour.geumsan.go.kr/,,충청남도 금산군 군북면 자진뱅이길 95,충청남도 금산군 군북면 산안리 294,36.19093401,127.5710874,2019-09-26
금산천봄꽃축제,금산읍 금산천 일원,2019-04-06,2019-04-06,"ㅇ봄꽃노래자랑, 소원꽃잎적기, 주민자치센터공연, 봄꽃카페 등",금산천봄꽃축제추진위원회,금산천봄꽃축제추진위원회,금산군,041-750-8103,https://www.geumsan.go.kr/town_01/,,충청남도 금산군 금산읍 금산천길 28,충청남도 금산군 금산읍 상옥리 467-160,36.1020211,127.4843123,2020-01-02
금산천봄꽃축제,금산읍 금산천 일원,2019-04-06,2019-04-06,"봄꽃노래자랑, 소원꽃잎적기, 주민자치센터공연, 봄꽃카페 등",금산천봄꽃축제추진위원회,금산천봄꽃축제추진위원회,금산군,041-750-8103,https://www.geumsan.go.kr/town_01/,,충청남도 금산군 금산읍 금산천길 28,충청남도 금산군 금산읍 상옥리 467-160,36.1020211,127.4843123,2019-09-26
금산인삼축제,금산인삼관 광장 및 인삼약초시장 일원,2020-10-09,2020-10-18,"ㅇ인삼캐기체험, 건강체험관, 어린이힐링놀이터,인삼아트거리 등 체험ㅇ건강댄스경연,힐링콘서트, 전국창작동요경연대회 등 경연,공연ㅇ국제인삼교역전, 인삼왕수상작 전시 등 전시교역",금산축제관광재단,금산군,"산업통상자원부, 한국관광공사",041-750-4144,http://www.insamfestival.co.kr/,,충청남도 금산군 금산읍 인삼광장로 30,충청남도 금산군 금산읍 신대리 392,36.1000256,127.5007304,2020-01-02
