축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
계양산국악제,계산체육공원,2020-04-25,2020-04-26,"유명국악인 축하공연, 길놀이, 국악경연대회",계양구,계양구,,032-450-5874,,,인천광역시 계양구 주부토로 570,,,,2020-01-15
소래포구축제,인천 남동구 논현동,2019-09-27,2019-09-29,관광축제,남동구,남동구,,032-453-2142,www.namdong.go.kr/soraefestival,아프리카돼지열방확산방지를 위해 축제취소,인천광역시 남동구 아암대로,인천광역시 남동구 논현동 775,,,2019-12-24
2020 부평풍물대축제,"부평대로, 부평아트센터, 신트리공원 등",2020-10-16,2020-10-18,"개폐막공연, 전통연희 판, 퍼레이드, 경연대회 등","부평구축제위원회, 부평구문화재단, 부평문화원",부평구,"문화체육관광부, 인천광역시 등",032-509-7516,www.bpf.or.kr,,인천광역시 부평구 부평대로 69,인천광역시 부평구 부평동 224-1,37.49765011,126.7220754,2019-12-13
제2회 인천 송도크루즈 불꽃축제,골든하버 인천항크루즈터미널,2020-05-23,2020-05-23,멀티미디어 융복합 불꽃공연 및 부대행사,"해양수산부, 연수구, 인천항만공사",연수문화재단,,032-749-7302,,,인천광역시 연수구 국제항만대로 438,인천광역시 연수구 송도동 300-3,37.425126,126.5916752,2020-01-06
제11회 연수 능허대 문화축제,문화공원,2020-10-09,2020-10-11,"능허대 소재 각종 공연, 전시 및 체험프로그램",연수구,연수문화재단,,032-749-7302,http://www.neungheodaefestival.or.kr/,,인천광역시 연수구 새말로 120,인천광역시 연수구 연수동 578,37.41807754,126.6824114,2020-01-06
옹진군 해넘이 및 제야의 밤,옹암해변,2019-12-31,2020-01-01,공연 및 불꽃놀이 개최,옹진군,옹진군,,,,,인천광역시 옹진군 북도면 장봉로 193,인천광역시 옹진군 북도면 장봉리 59-10,37.53014696,126.372272,2020-01-13
국사봉 해맞이행사,영흥면 일원,2019-12-31,2020-01-01,지역주민화합과 관광객유치를 위한 해맞이행사,영흥면내6리 개발위원회,옹진군,,032-899-3814,http://www.ongjin.go.kr/township/index.asp?dept_idx=15,,인천광역시 옹진군 영흥면 내리 165-1,인천광역시 옹진군 영흥면 내리 165-1,37.27012096,126.4931449,2020-01-13
크리스마스트리문화축제,신포동 일원,2019-11-01,2020-01-31,대형트리 및 경관조명,인천중구문화원,인천광역시 중구,,,http://www.icjg.go.kr/tour/cttu0202a,,인천광역시 중구 북성동1가 98-57,인천광역시 중구 북성동1가 98-57,,,2019-06-03
인천상륙작전 월미축제,월미도 문화의 거리,2019-09-01,2019-09-30,월미콘서트+호국음악회+시가행진,인천중구문화원,인천광역시 중구,인천광역시+해군본부,,http://www.icjg.go.kr/tour/cttu0202a,,인천광역시 중구 북성동1가 98-57,인천광역시 중구 북성동1가 98-57,,,2019-06-03
인천개항장문화재야행,인천광역시 중구 중구청 일원,2019-09-07,2019-09-08,문화재 활용사업,인천관광공사,인천광역시 중구+인천광역시,,,http://www.culturenight.co.kr/,,인천광역시 중구 신포로27번길 80,,37.47408104,126.6213401,2019-06-03
인천개항장문화재야행,인천광역시 중구 중구청 일원,2019-06-15,2019-06-16,문화재 활용사업,인천관광공사,인천광역시 중구+인천광역시,,,http://www.culturenight.co.kr/,,인천광역시 중구 신포로27번길 80,,37.47408104,126.6213401,2019-06-03
연안부두 축제,인천종합어시장 일원,2019-10-01,2019-10-31,축하공연+체험부스 운영,인천종합어시장사업협동조합,인천종합어시장사업협동조합,,,,,인천광역시 중구 연안부두로33번길 37,,37.45413694,126.607164,2019-06-03
구민의 날 문화불꽃축제,영종국제도시내,2019-09-28,2019-09-28,기념식+축하공연,인천중구문화원,인천광역시 중구,,,http://www.icjg.go.kr/tour/cttu0202a,,인천광역시 중구 자유공원남로 25,,37.47457903,126.6226671,2019-06-03
제물포 문화선교축제,내리교회,2019-04-05,2019-04-05,열린음악회,인천중구문화원,인천광역시 중구,,,http://www.icjg.go.kr/tour/cttu0202a,,인천광역시 중구 자유공원남로 25,,37.47457903,126.6226671,2019-06-03
무의도 춤 춤축제,무의도하나개해수욕장,2019-09-01,2019-09-30,창작 춤 공연+요들송 공연,무의도아트센터,무의도아트센터,,,,,인천광역시 중구 하나개로 151-8,,,,2019-06-03
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
