축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
거제 섬꽃축제,거제시 농업개발원,2019-10-26,2019-11-03,가을국화꽃 전시/ 국화작품전시/ 꽃동산 전시/ 첨단농업전시/ 국화전배전시 및 농특산물 홍보 판매 등 다양한 전시 및 행사,경상남도 거제시 농업개발과,경상남도 거제시 농업개발과,,055-639-6443,,,경상남도 거제시 거제면 거제남서로 3577,,,,2020-02-13
바다로 세계로,거제시 일원,2019-08-01,2019-08-04,스포츠와 함께하는 여름축제로 매년 7월말에서 8월초순 경에 개최되는 한려수도 해양축제 “바다로 세계로”는 천혜의 관광자원과 문화예술공연을 함께 즐길 수 있는 전국 최대규모의 해양축제.,㈜엠비씨경남,경상남도 거제시 관광마케팅과,,055-639-4173,,,경상남도 거제시 계룡로 125,,,,2020-02-13
남부면 수국축제,매물도 여객선 주차장,2019-06-29,2019-06-29,남부면에서 20여년 동안 가꾸어 온 아름다운 수국꽃을 시민 및  관광객들에게 선물을 선사하다,경상남도 거제시 남부면,경상남도 거제시 남부면,,055-639-6531,,,경상남도 거제시 남부면 저구리 216-120,경상남도 거제시 남부면 저구리 216-120,,,2020-02-13
양지암축제,양지암공원,2019-04-13,2019-04-13,푸른바다를 두른 양지암과 조각품의 아름다움에 취하다,양지암축제추진위원회,양지암축제추진위원회,,055-639-6793,,,경상남도 거제시 능포동 408-2,경상남도 거제시 능포동 408-2,,,2020-02-13
거제학동몽돌해변 불꽃축제,학동흑진주몽돌해변,2019-10-19,2019-10-19,우수한 관광자원이 몽돌을 소재로 전국적으로 특색 있고/ 차별화된 축제를 통하여 우리 시의 인지도 향상 및 볼거리 등으로 체험형 문화관광 축제,경상남도 거제시 동부면,경상남도 거제시 동부면,,055-639-6511,,,경상남도 거제시 동부면 학동리 284-1,경상남도 거제시 동부면 학동리 284-1,,,2020-02-13
산방산삼월삼짇날축제,산방산 임도,2019-04-07,2019-04-07,따뜻한 봄기운이 감도는 삼월 삼짇날 산방산에서 열리는 축제,경상남도 거제시 둔덕면번영회,경상남도 거제시 둔덕면번영회,,055-639-6592,,,경상남도 거제시 둔덕면 산방리 331-1,경상남도 거제시 둔덕면 산방리 331-1,,,2020-02-13
대금산진달래축제,대금산 중턱,2019-04-06,2019-04-06,대금산에 만개하는 진달래를 배경으로 펼쳐지는 축제,대금산진달래축제추진위원회,대금산진달래축제추진위원회,,055-639-6721,,,경상남도 거제시 연초면 명동리 산 21,경상남도 거제시 연초면 명동리 산 21,,,2020-02-13
거제 옥포대첩 축제,옥포대첩기념공원/ 옥포동 일원,2019-06-14,2019-06-15,"옥포대첩축제로 명칭 변경, 임진왜란 첫 승전인 옥포대첩을 기념하는 행사로/ 기념식을 비롯하여 문화예술/ 민속/ 이벤트행사 등이 다양하게 진행되며 시민 참여마당 및 볼거리를 제공합니다.",옥포대첩기념제전위원회,옥포대첩기념제전위원회,,055-639-3393,,,경상남도 거제시 옥포2동 3-2,경상남도 거제시 옥포2동 3-2,,,2020-02-13
거제 대구수산물 축제,외포항 일원,2019-12-21,2019-12-22,외포항 일원/ 볼거리/ 먹거리/ 즐길거리가 풍성 ''''''''속까지 확 풀어주는 거제대구/ 억수로 재미있는 외포바다체험'''''''',거제대구수산물축제추진위원회,거제대구수산물추진위원회,,055-639-4273,,,경상남도 거제시 장목면 외포리 57-47,경상남도 거제시 장목면 외포리 57-47,,,2020-02-13
송년불꽃축제,장승포항 일원,2019-12-31,2019-12-31,송년불꽃축제는 한 해를 마무리하는 시점에서 관광객에게 볼거리를 제공하기 위한 연말연시 축제의 한마당. 축하공연과 더불어 화려하게 하늘을 수놓은 불꽃연출은 한 해를 보내는 아쉬움과 새해를 맞이하는 희망과 설레임으로 잊지못할 추억을 선사.,2019 송년불꽃축제 추진위원회,경상남도 거제시 문화예술과,,055-639-6751,,,경상남도 거제시 장승로 138,,,,2020-02-13
